127.0.0.1 - - [06/Apr/2024:09:51:30 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/Apr/2024:10:20:34 +0530] "GET /Program/Add.jsp HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [06/Apr/2024:10:21:06 +0530] "GET /Program/Add.jsp HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [06/Apr/2024:10:21:07 +0530] "GET /Program/Add.jsp HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [06/Apr/2024:10:21:28 +0530] "GET /Program/Add.jsp HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [06/Apr/2024:10:21:29 +0530] "GET /Program/Add.jsp HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [06/Apr/2024:10:21:30 +0530] "GET /Program/Add.jsp HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [06/Apr/2024:10:21:30 +0530] "GET /Program/Add.jsp HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [06/Apr/2024:10:21:30 +0530] "GET /Program/Add.jsp HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [06/Apr/2024:10:21:30 +0530] "GET /Program/Add.jsp HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [06/Apr/2024:10:21:30 +0530] "GET /Program/Add.jsp HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [06/Apr/2024:10:21:31 +0530] "GET /Program/Add.jsp HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [06/Apr/2024:10:21:31 +0530] "GET /Program/Add.jsp HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [06/Apr/2024:10:21:31 +0530] "GET /Program/Add.jsp HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [06/Apr/2024:10:21:31 +0530] "GET /Program/Add.jsp HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [06/Apr/2024:10:21:32 +0530] "GET /Program/Add.jsp HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [06/Apr/2024:10:21:32 +0530] "GET /Program/Add.jsp HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [06/Apr/2024:10:22:00 +0530] "GET /Program/Add.jsp HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [06/Apr/2024:10:22:49 +0530] "GET /Program/Add.jsp HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [06/Apr/2024:10:24:25 +0530] "GET /Program/Add.jsp HTTP/1.1" 200 544
0:0:0:0:0:0:0:1 - - [06/Apr/2024:10:24:27 +0530] "GET /Program/Add.jsp?first=&second=&s=Calculate+Addition HTTP/1.1" 500 2620
0:0:0:0:0:0:0:1 - - [06/Apr/2024:10:24:50 +0530] "GET /Program/Add.jsp?first=100&second=200&s=Calculate+Addition HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [06/Apr/2024:10:41:41 +0530] "GET /Program/Table.jsp HTTP/1.1" 500 2127
0:0:0:0:0:0:0:1 - - [06/Apr/2024:10:42:35 +0530] "GET /Program/Table.jsp HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [06/Apr/2024:10:43:13 +0530] "GET /Program/Table.jsp HTTP/1.1" 200 403
0:0:0:0:0:0:0:1 - - [06/Apr/2024:10:43:26 +0530] "GET /Program/Table.jsp?num=10&s=Print+Table HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [06/Apr/2024:10:44:05 +0530] "GET /Program/Table.jsp?num=5&s=Print+Table HTTP/1.1" 200 489
0:0:0:0:0:0:0:1 - - [06/Apr/2024:11:18:22 +0530] "GET /Program/Table1.jsp HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [06/Apr/2024:11:19:01 +0530] "GET /Program/Table1.jsp HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [06/Apr/2024:11:19:08 +0530] "GET /Program/Table1.jsp?num=3&s=Print+Table HTTP/1.1" 200 1928
0:0:0:0:0:0:0:1 - - [06/Apr/2024:11:20:04 +0530] "GET /Program/Table1.jsp?num=3&s=Print+Table HTTP/1.1" 200 1928
0:0:0:0:0:0:0:1 - - [06/Apr/2024:11:20:05 +0530] "GET /Program/Table1.jsp?num=3&s=Print+Table HTTP/1.1" 200 1928
0:0:0:0:0:0:0:1 - - [06/Apr/2024:11:20:05 +0530] "GET /Program/Table1.jsp?num=3&s=Print+Table HTTP/1.1" 200 1928
0:0:0:0:0:0:0:1 - - [06/Apr/2024:11:20:05 +0530] "GET /Program/Table1.jsp?num=3&s=Print+Table HTTP/1.1" 200 1928
0:0:0:0:0:0:0:1 - - [06/Apr/2024:11:20:06 +0530] "GET /Program/Table1.jsp?num=3&s=Print+Table HTTP/1.1" 200 1928
0:0:0:0:0:0:0:1 - - [06/Apr/2024:11:20:06 +0530] "GET /Program/Table1.jsp?num=3&s=Print+Table HTTP/1.1" 200 1928
0:0:0:0:0:0:0:1 - - [06/Apr/2024:11:20:06 +0530] "GET /Program/Table1.jsp?num=3&s=Print+Table HTTP/1.1" 200 1928
0:0:0:0:0:0:0:1 - - [06/Apr/2024:11:20:06 +0530] "GET /Program/Table1.jsp?num=3&s=Print+Table HTTP/1.1" 200 1928
0:0:0:0:0:0:0:1 - - [06/Apr/2024:11:20:07 +0530] "GET /Program/Table1.jsp?num=3&s=Print+Table HTTP/1.1" 200 1928
0:0:0:0:0:0:0:1 - - [06/Apr/2024:11:20:07 +0530] "GET /Program/Table1.jsp?num=3&s=Print+Table HTTP/1.1" 200 1928
0:0:0:0:0:0:0:1 - - [06/Apr/2024:11:20:07 +0530] "GET /Program/Table1.jsp?num=3&s=Print+Table HTTP/1.1" 200 1928
0:0:0:0:0:0:0:1 - - [06/Apr/2024:11:20:08 +0530] "GET /Program/Table1.jsp?num=3&s=Print+Table HTTP/1.1" 200 1928
0:0:0:0:0:0:0:1 - - [06/Apr/2024:11:20:27 +0530] "GET /Program/Table1.jsp HTTP/1.1" 200 409
0:0:0:0:0:0:0:1 - - [06/Apr/2024:11:20:31 +0530] "GET /Program/Table1.jsp?num=9&s=Print+Table HTTP/1.1" 200 1938
0:0:0:0:0:0:0:1 - - [06/Apr/2024:11:43:00 +0530] "GET /Program/Date.jsp HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [06/Apr/2024:11:43:42 +0530] "GET /Program/Date.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [06/Apr/2024:12:34:20 +0530] "GET /Program/error.jsp HTTP/1.1" 500 2135
0:0:0:0:0:0:0:1 - - [06/Apr/2024:12:35:11 +0530] "GET /Program/error.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [06/Apr/2024:12:55:40 +0530] "GET /Program/nav.jsp HTTP/1.1" 200 227
0:0:0:0:0:0:0:1 - - [06/Apr/2024:12:55:44 +0530] "GET /Program/Add.jsp HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [06/Apr/2024:12:55:47 +0530] "GET /Program/Division.jsp HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [06/Apr/2024:12:57:11 +0530] "GET /Program/nav.jsp HTTP/1.1" 200 227
0:0:0:0:0:0:0:1 - - [06/Apr/2024:12:57:13 +0530] "GET /Program/Division.jsp HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [06/Apr/2024:12:57:43 +0530] "GET /Program/nav.jsp HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [06/Apr/2024:12:57:45 +0530] "GET /Program/Add.jsp HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [06/Apr/2024:12:57:47 +0530] "GET /Program/Divsion.jsp HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [06/Apr/2024:12:58:14 +0530] "GET /Program/Divsion.jsp HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [06/Apr/2024:12:58:17 +0530] "GET /Program/Divsion.jsp HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [06/Apr/2024:12:58:17 +0530] "GET /Program/Divsion.jsp HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [06/Apr/2024:12:58:17 +0530] "GET /Program/Divsion.jsp HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [06/Apr/2024:12:58:21 +0530] "GET /Program/Add.jsp HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [06/Apr/2024:12:58:22 +0530] "GET /Program/Divsion.jsp HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [06/Apr/2024:12:58:23 +0530] "GET /Program/Divsion.jsp HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [06/Apr/2024:12:58:25 +0530] "GET /Program/Divsion.jsp HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [06/Apr/2024:12:58:39 +0530] "GET /Program/Divsion.jsp HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [06/Apr/2024:12:58:40 +0530] "GET /Program/Divsion.jsp HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [06/Apr/2024:12:58:40 +0530] "GET /Program/Divsion.jsp HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [06/Apr/2024:12:58:41 +0530] "GET /Program/Divsion.jsp HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [06/Apr/2024:12:58:47 +0530] "GET /Program/Divsion.jsp HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [06/Apr/2024:12:58:52 +0530] "GET /Program/Divsion.jsp?first=&second=&s=Calculate+Addition HTTP/1.1" 200 270
